timestamp,open,high,low,close
2019-12-27,1.1101,1.1188,1.1097,1.1175
2019-12-26,1.1091,1.1109,1.1081,1.1095
2019-12-25,1.1087,1.1102,1.1072,1.1091
2019-12-24,1.1090,1.1094,1.1068,1.1088
2019-12-23,1.1078,1.1096,1.1068,1.1090
2019-12-22,1.1077,1.1086,1.1075,1.1077
2019-12-20,1.1124,1.1125,1.1065,1.1077
2019-12-19,1.1116,1.1144,1.1106,1.1124
2019-12-18,1.1153,1.1153,1.1109,1.1115
2019-12-17,1.1138,1.1175,1.1128,1.1153
2019-12-16,1.1129,1.1158,1.1121,1.1137
2019-12-15,1.1126,1.1133,1.1118,1.1129
2019-12-13,1.1183,1.1193,1.1110,1.1122
2019-12-12,1.1133,1.1200,1.1102,1.1183
2019-12-11,1.1093,1.1145,1.1069,1.1133
2019-12-10,1.1065,1.1098,1.1061,1.1093
2019-12-09,1.1057,1.1078,1.1052,1.1065
2019-12-08,1.1054,1.1061,1.1053,1.1058
2019-12-06,1.1104,1.1110,1.1038,1.1056
2019-12-05,1.1078,1.1108,1.1077,1.1104
2019-12-04,1.1082,1.1116,1.1065,1.1078
2019-12-03,1.1076,1.1094,1.1065,1.1082
2019-12-02,1.1021,1.1091,1.1001,1.1076
2019-12-01,1.1014,1.1027,1.1013,1.1021
2019-11-29,1.1011,1.1028,1.0980,1.1017
2019-11-28,1.1005,1.1018,1.0999,1.1009
2019-11-27,1.1023,1.1023,1.0990,1.1005
2019-11-26,1.1014,1.1026,1.1006,1.1023
2019-11-25,1.1022,1.1032,1.1002,1.1014
2019-11-24,1.1024,1.1025,1.1012,1.1022
2019-11-22,1.1062,1.1088,1.1013,1.1022
2019-11-21,1.1076,1.1097,1.1051,1.1061
2019-11-20,1.1078,1.1081,1.1051,1.1076
2019-11-19,1.1071,1.1084,1.1061,1.1077
2019-11-18,1.1052,1.1090,1.1049,1.1071
2019-11-17,1.1051,1.1054,1.1047,1.1051
2019-11-15,1.1022,1.1057,1.1013,1.1051
2019-11-14,1.1008,1.1027,1.0988,1.1022
2019-11-13,1.1011,1.1020,1.0994,1.1008
2019-11-12,1.1031,1.1039,1.1001,1.1011
2019-11-11,1.1020,1.1043,1.1015,1.1031
2019-11-10,1.1017,1.1025,1.1017,1.1020
2019-11-08,1.1049,1.1055,1.1015,1.1019
2019-11-07,1.1067,1.1092,1.1035,1.1049
2019-11-06,1.1075,1.1093,1.1063,1.1067
2019-11-05,1.1122,1.1140,1.1062,1.1075
2019-11-04,1.1165,1.1176,1.1120,1.1122
2019-11-03,1.1165,1.1170,1.1162,1.1165
2019-11-01,1.1152,1.1172,1.1127,1.1164
2019-10-31,1.1153,1.1176,1.1130,1.1151
2019-10-30,1.1112,1.1155,1.1079,1.1153
2019-10-29,1.1098,1.1119,1.1072,1.1112
2019-10-28,1.1082,1.1107,1.1071,1.1098
2019-10-27,1.1085,1.1085,1.1074,1.1081
2019-10-25,1.1102,1.1123,1.1071,1.1080
2019-10-24,1.1133,1.1163,1.1091,1.1103
2019-10-23,1.1131,1.1140,1.1105,1.1132
2019-10-22,1.1150,1.1157,1.1116,1.1131
2019-10-21,1.1157,1.1179,1.1138,1.1150
2019-10-20,1.1145,1.1165,1.1135,1.1157
2019-10-18,1.1125,1.1183,1.1113,1.1182
2019-10-17,1.1075,1.1140,1.1063,1.1124
2019-10-16,1.1033,1.1086,1.1021,1.1075
2019-10-15,1.1028,1.1046,1.0989,1.1033
2019-10-14,1.1030,1.1043,1.1012,1.1028
2019-10-13,1.1045,1.1045,1.1028,1.1030
2019-10-11,1.1007,1.1063,1.1000,1.1035
2019-10-10,1.0984,1.1034,1.0978,1.1007
2019-10-09,1.0958,1.0991,1.0953,1.0985
2019-10-08,1.0970,1.0996,1.0939,1.0958
2019-10-07,1.0981,1.1001,1.0960,1.0972
2019-10-06,1.0982,1.0984,1.0967,1.0981
2019-10-04,1.0972,1.0999,1.0956,1.0975
2019-10-03,1.0959,1.0999,1.0939,1.0972
2019-10-02,1.0931,1.0964,1.0903,1.0959
2019-10-01,1.0898,1.0943,1.0878,1.0931
2019-09-30,1.0944,1.0948,1.0884,1.0898
2019-09-29,1.0938,1.0946,1.0938,1.0944
2019-09-27,1.0920,1.0959,1.0904,1.0939
2019-09-26,1.0949,1.0967,1.0908,1.0920
2019-09-25,1.1019,1.1020,1.0936,1.0949
2019-09-24,1.0995,1.1024,1.0982,1.1019
2019-09-23,1.1018,1.1025,1.0964,1.0995
2019-09-22,1.1011,1.1020,1.1009,1.1018
2019-09-20,1.1045,1.1068,1.0995,1.1017
2019-09-19,1.1031,1.1074,1.1021,1.1045
2019-09-18,1.1071,1.1076,1.1012,1.1031
2019-09-17,1.1005,1.1075,1.0989,1.1071
2019-09-16,1.1079,1.1086,1.0992,1.1005
2019-09-15,1.1076,1.1087,1.1068,1.1079
2019-09-13,1.1058,1.1110,1.1054,1.1071
2019-09-12,1.1010,1.1087,1.0926,1.1058
2019-09-11,1.1049,1.1056,1.0983,1.1010
2019-09-10,1.1049,1.1059,1.1029,1.1048
2019-09-09,1.1025,1.1068,1.1014,1.1049
2019-09-08,1.1025,1.1028,1.1022,1.1025
2019-09-06,1.1036,1.1057,1.1018,1.1029
2019-09-05,1.1034,1.1085,1.1016,1.1035
2019-09-04,1.0970,1.1038,1.0967,1.1034
2019-09-03,1.0966,1.0979,1.0924,1.0971
